"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","slider_start","response"
"true","false","[]","[]","[]","preload","0","484","0.0-0.0","","","","",""
"","","","","","instructions","1","1668","0.0-1.0","[{""page_index"":0,""viewing_time"":521},{""page_index"":1,""viewing_time"":166},{""page_index"":2,""viewing_time"":160},{""page_index"":3,""viewing_time"":172},{""page_index"":4,""viewing_time"":164}]","1184","","",""
"","","","","","instructions","2","1820","0.0-2.0","[{""page_index"":0,""viewing_time"":150}]","150","","",""
"","","","","","audio-slider-response","3","3315","0.0-3.0-0.0","","1496","audio/subject_0/block_0/BASIC_0.wav","4503599627370495","2219165033776770"
"","","","","","audio-slider-response","4","5141","0.0-3.0-0.1","","1827","audio/subject_0/block_0/SIMPLE_RAF_1.wav","4503599627370495","969719174423461"
"","","","","","audio-slider-response","5","7061","0.0-3.0-0.2","","1917","audio/subject_0/block_0/BASIC_1.wav","4503599627370495","7002491346077110"
"","","","","","audio-slider-response","6","8193","0.0-3.0-0.3","","1133","audio/subject_0/block_0/FROZEN_1.wav","4503599627370495","5855611937864740"
"","","","","","audio-slider-response","7","9617","0.0-3.0-0.4","","1424","audio/subject_0/block_0/CONTROL_1.wav","4503599627370495","2275110370762730"
"","","","","","audio-slider-response","8","11829","0.0-3.0-0.5","","2213","audio/subject_0/block_0/FROZEN_0.wav","4503599627370495","5911557274850710"
"","","","","","audio-slider-response","9","13368","0.0-3.0-0.6","","1539","audio/subject_0/block_0/SHUFFLE_RAF_1.wav","4503599627370495","3002399751580330"
"","","","","","audio-slider-response","10","14905","0.0-3.0-0.7","","1536","audio/subject_0/block_0/RAG_1.wav","4503599627370495","6303174633752490"
"","","","","","audio-slider-response","11","16291","0.0-3.0-0.8","","1387","audio/subject_0/block_0/SIMPLE_1.wav","4503599627370495","2498891718706610"
"","","","","","audio-slider-response","12","17478","0.0-3.0-0.9","","1187","audio/subject_0/block_0/SIMPLE_RAF_0.wav","4503599627370495","5864936160695740"
"","","","","","audio-slider-response","13","19078","0.0-3.0-0.10","","1600","audio/subject_0/block_0/SHUFFLE_0.wav","4503599627370495","7133030465711030"
"","","","","","audio-slider-response","14","20370","0.0-3.0-0.11","","1293","audio/subject_0/block_0/RAG_RAF_0.wav","4503599627370495","2638755061171530"
"","","","","","audio-slider-response","15","21885","0.0-3.0-0.12","","1512","audio/subject_0/block_0/CONTROL_0.wav","4503599627370495","6443037976217420"
"","","","","","audio-slider-response","16","24318","0.0-3.0-0.13","","2435","audio/subject_0/block_0/SIMPLE_0.wav","4503599627370495","1603766326931110"
"","","","","","audio-slider-response","17","25745","0.0-3.0-0.14","","1429","audio/subject_0/block_0/RAG_0.wav","4503599627370495","5846287715033750"
"","","","","","audio-slider-response","18","27248","0.0-3.0-0.15","","1501","audio/subject_0/block_0/RAG_RAF_1.wav","4503599627370495","2414973713227660"
"","","","","","audio-slider-response","19","29898","0.0-3.0-0.16","","2651","audio/subject_0/block_0/SHUFFLE_RAF_0.wav","4503599627370495","5846287715033750"
"","","","","","audio-slider-response","20","32108","0.0-3.0-0.17","","2211","audio/subject_0/block_0/SHUFFLE_1.wav","4503599627370495","2368352599072680"
